timestamp,auto_state,duration_s,sample_count,avg_bus_voltage_v,avg_left_current_a,avg_right_current_a,avg_total_current_a,avg_left_power_w,avg_right_power_w,avg_total_power_w,energy_wh
2026-05-04T16:40:09,bench_tracking_b,4.209,4,25.453,-1.35,0.475,1.825,34.336,12.098,46.434,0.054292
2026-05-04T16:40:19,align_center,9.149,9,25.484,-0.567,0.367,1.289,19.523,13.302,32.825,0.083424
2026-05-04T16:40:24,aruco_centering,5.652,6,25.472,-1.55,0.117,1.7,39.473,3.821,43.294,0.067977
2026-05-04T16:40:28,scan_start,4.12,4,25.498,-0.675,0.0,0.675,17.211,0.0,17.211,0.019697
2026-05-04T16:40:33,bench_tracking_b,4.153,4,25.46,-1.325,0.475,1.8,33.731,12.093,45.824,0.052865
2026-05-04T16:55:56,yaw_correction,923.745,924,25.503,0.006,0.004,0.01,0.146,0.099,0.245,0.06289
2026-05-04T16:57:02,manual,34.257,34,25.505,-0.003,0.029,0.032,0.075,0.75,0.825,0.007852
2026-05-04T16:57:03,bench_tracking_f,0.897,1,25.47,0.4,-0.8,1.2,10.188,20.376,30.564,0.007612
2026-05-04T16:57:05,yaw_correction,1.949,2,25.465,-1.4,-1.0,2.4,35.648,25.465,61.114,0.033084
2026-05-04T16:57:11,align_center,5.998,6,25.437,-0.733,-1.0,1.733,18.679,25.385,44.064,0.073421
2026-05-04T16:57:22,aruco_centering,11.503,11,25.473,-1.618,0.4,2.073,41.196,11.57,52.766,0.168607
2026-05-04T16:59:33,scan_start,130.453,130,25.52,-0.802,0.187,0.988,20.456,4.77,25.226,0.914113
2026-05-04T17:00:19,manual,25.207,25,25.509,-0.28,0.072,0.352,7.142,1.836,8.978,0.062866
2026-05-04T17:00:23,bench_tracking_f,3.697,3,25.493,0.433,-0.133,0.633,11.047,5.098,16.145,0.016581
2026-05-04T17:00:27,bench_tracking_b,4.241,5,25.452,-1.5,0.78,2.28,38.158,19.843,58.001,0.068326
2026-05-04T17:00:29,yaw_correction,1.945,2,25.445,0.85,1.65,2.5,21.624,41.986,63.61,0.034372
2026-05-04T17:00:36,align_center,6.503,6,25.482,-0.167,1.25,1.75,12.739,31.849,44.588,0.080545
2026-05-04T17:00:42,aruco_centering,6.402,6,25.478,1.4,-0.35,1.917,35.667,13.163,48.83,0.086841
2026-05-04T17:00:47,scan_start,4.558,5,25.512,0.12,-0.18,0.3,3.062,4.592,7.654,0.00969
2026-05-04T17:02:19,idle,92.387,92,25.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-04T17:02:28,bench_tracking_f,8.702,9,25.481,0.378,-0.422,1.2,19.813,10.754,30.567,0.073891
2026-05-04T17:02:31,yaw_correction,2.801,3,25.47,0.233,-0.167,2.0,41.598,9.338,50.936,0.039632
2026-05-04T17:02:37,align_center,6.298,6,25.465,-0.283,-0.9,1.583,17.398,22.907,40.305,0.070511
2026-05-04T17:02:55,aruco_centering,17.552,18,25.469,-1.167,-0.206,1.694,30.275,12.875,43.15,0.210384
2026-05-04T17:02:58,scan_start,3.921,4,25.495,-0.6,-0.075,0.675,15.297,1.912,17.209,0.018745
2026-05-04T17:03:02,bench_tracking_b,3.848,4,25.47,-0.875,0.475,1.35,22.286,12.097,34.383,0.036748
2026-05-04T17:03:05,yaw_correction,3.079,3,25.46,1.167,1.467,2.633,29.686,37.332,67.018,0.057318
2026-05-04T17:03:12,align_center,6.8,6,25.46,-0.183,0.8,1.383,14.852,20.372,35.224,0.066535
2026-05-04T17:03:16,aruco_centering,3.355,4,25.47,1.475,-0.275,2.0,37.564,13.371,50.935,0.047474
2026-05-04T17:03:20,scan_start,4.191,4,25.508,0.2,-0.1,0.3,5.101,2.551,7.652,0.008909
2026-05-04T17:03:24,bench_tracking_b,4.153,4,25.42,-1.775,0.95,2.725,45.093,24.101,69.193,0.079827
2026-05-04T17:03:26,yaw_correction,2.051,2,25.465,1.55,0.75,2.5,39.475,24.181,63.655,0.036264
2026-05-04T17:03:32,align_center,5.903,6,25.47,-0.033,1.283,1.85,14.434,32.684,47.119,0.077267
2026-05-04T17:03:38,aruco_centering,5.899,6,25.477,1.483,-0.133,1.883,37.79,10.19,47.979,0.078614
2026-05-04T17:03:42,scan_start,4.022,4,25.498,0.3,-0.175,0.475,7.649,4.462,12.111,0.01353
2026-05-04T17:03:46,bench_tracking_b,4.125,4,25.41,-1.675,1.2,2.875,42.469,30.418,72.887,0.083525
2026-05-04T17:03:48,yaw_correction,2.35,2,25.47,2.15,0.8,3.05,54.77,22.907,77.677,0.050703
2026-05-04T17:03:55,align_center,6.701,7,25.39,0.329,0.929,1.571,16.269,23.526,39.795,0.074072
2026-05-04T17:04:00,aruco_centering,4.605,5,25.468,1.46,-0.28,1.9,37.181,11.205,48.386,0.061897
2026-05-04T17:04:04,scan_start,4.163,4,25.515,0.25,-0.175,0.425,6.379,4.465,10.844,0.012538
2026-05-04T17:04:08,bench_tracking_b,3.882,4,25.44,-1.525,0.4,1.925,38.743,10.144,48.886,0.052714
2026-05-04T17:04:09,yaw_correction,1.151,1,25.49,0.6,0.1,0.7,15.294,2.549,17.843,0.005706
2026-05-04T17:04:16,align_center,7.249,7,25.451,-0.257,1.3,2.214,23.263,33.084,56.346,0.113454
2026-05-04T17:04:26,aruco_centering,10.452,11,25.453,1.6,-0.2,2.364,46.253,13.879,60.133,0.174588
2026-05-04T17:04:31,scan_start,4.256,4,25.51,-0.05,0.3,0.35,1.275,7.653,8.928,0.010556
2026-05-04T17:04:35,bench_tracking_b,3.992,4,25.45,-1.0,0.775,1.775,25.422,19.686,45.108,0.050014
2026-05-04T17:04:36,yaw_correction,1.653,2,25.445,1.85,0.75,2.6,47.071,19.072,66.144,0.030374
2026-05-04T17:04:42,align_center,5.698,5,25.45,0.06,1.14,1.84,17.807,29.011,46.818,0.074107
2026-05-04T17:04:48,aruco_centering,6.102,6,25.457,2.05,-0.3,2.55,52.183,12.729,64.912,0.110031
2026-05-04T17:04:52,scan_start,3.648,4,25.503,0.4,-0.175,0.575,10.201,4.463,14.665,0.014859
2026-05-05T11:52:22,manual,30.392,30,25.484,-0.28,-0.03,0.31,7.135,0.764,7.899,0.066684
2026-05-05T11:52:25,bench_tracking_f,2.47,2,25.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-05T11:52:26,yaw_correction,1.251,2,25.46,-1.35,-1.1,2.45,34.367,28.003,62.371,0.021671
2026-05-05T11:52:33,align_center,7.098,7,25.456,-0.457,-0.957,1.757,20.368,24.352,44.719,0.088171
